date,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
2020-03-09,0.0,270.0915069580078,0.0,135.22576904296875,0.0,0.0,0.0,0.0,0.0,0.0,-506.965576171875
2020-03-10,0.0,189.1820068359375,0.0,143.54943466186523,0.0,153.74696350097656,0.0,6.5030412673950195,0.0,33.9315299987793,-533.1983642578125
2020-03-11,0.0,182.08599853515625,0.0,91.58655548095703,0.0,146.78189086914062,0.0,0.0,0.0,32.81375503540039,-760.8088531494141
2020-03-12,0.0,83.83049774169922,55.31304931640625,80.736572265625,0.0,265.7226867675781,0.0,0.0,37.369998931884766,58.12366485595703,-917.355712890625
2020-03-13,0.0,89.25,0.0,48.24869918823242,0.0,455.2503662109375,0.0,0.0,0.0,59.59316635131836,-995.777099609375
2020-03-16,0.0,0.0,0.0,39.543907165527344,145.3250732421875,517.5343627929688,0.0,0.0,0.0,80.87757682800293,-886.8154907226562
2020-03-17,0.0,0.0,0.0,44.3927001953125,148.71908569335938,560.1463623046875,0.0,0.0,0.0,115.09048461914062,-1168.3705139160156
2020-03-18,0.0,0.0,0.0,42.20320510864258,0.0,402.42498779296875,0.0,0.0,0.0,103.55330657958984,-1331.0549926757812
2020-03-19,0.0,0.0,0.0,40.72286605834961,0.0,409.0458984375,0.0,0.0,0.0,80.73685455322266,-1333.8836975097656
2020-03-20,0.0,0.0,0.0,81.25072479248047,0.0,262.4551696777344,0.0,0.0,0.0,76.77389144897461,-1489.1344299316406
2020-03-23,0.0,0.0,0.0,43.949493408203125,0.0,259.8373107910156,0.0,0.0,0.0,73.74888610839844,-1243.7656860351562
2020-03-24,0.0,97.00499725341797,0.0,0.0,0.0,141.7276611328125,0.0,0.0,0.0,83.10527801513672,-1356.4551086425781
2020-03-25,0.0,188.58399963378906,0.0,0.0,0.0,140.37100219726562,0.0,0.0,0.0,58.295623779296875,-1376.7614135742188
2020-03-26,0.0,97.77449798583984,0.0,0.0,0.0,149.15138244628906,0.0,6.407392978668213,0.0,30.3437442779541,-1700.0084686279297
2020-03-27,0.0,95.00499725341797,55.24885940551758,0.0,0.0,0.0,357.1199951171875,12.590113639831543,0.0,28.882051467895508,-1649.372543334961
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,370.9599914550781,6.615376949310303,0.0,0.0,-1946.2139892578125
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,375.5,6.5658087730407715,0.0,0.0,-1917.205078125
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.054443359375,0.0,0.0,-2059.786422729492
2020-04-02,59.36152648925781,0.0,55.585750579833984,0.0,157.4479522705078,0.0,0.0,6.363306045532227,0.0,0.0,-1873.1702880859375
2020-04-03,58.5084114074707,95.32949829101562,54.37503433227539,0.0,0.0,0.0,0.0,6.075366497039795,0.0,0.0,-2076.8571166992188
2020-04-06,63.61254119873047,99.87950134277344,58.87800979614258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2462.6129150390625
2020-04-07,62.875755310058594,100.58000183105469,58.846656799316406,0.0,0.0,0.0,0.0,0.0,36.36333465576172,32.23533630371094,-2218.611373901367
2020-04-08,64.48503875732422,0.0,0.0,52.281986236572266,0.0,0.0,0.0,0.0,36.589332580566406,0.0,-2547.874298095703
2020-04-09,0.0,0.0,0.0,101.30189514160156,0.0,0.0,0.0,0.0,38.20000076293945,0.0,-2845.3107299804688
2020-04-13,0.0,0.0,0.0,52.03378677368164,0.0,0.0,0.0,0.0,0.0,0.0,-2563.0294799804688
2020-04-14,0.0,0.0,0.0,53.771202087402344,177.334228515625,0.0,0.0,0.0,0.0,0.0,-2374.758544921875
2020-04-15,0.0,0.0,0.0,0.0,176.1398468017578,0.0,0.0,0.0,0.0,0.0,-2066.0439453125
2020-04-16,0.0,0.0,0.0,0.0,175.42323303222656,0.0,0.0,0.0,0.0,0.0,-2076.010986328125
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,422.9599914550781,0.0,0.0,0.0,-2132.09521484375
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1832.7156982421875
2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1777.0684967041016
2020-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.93101501464844,-1557.0082397460938
2020-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.04199981689453,0.0,-1556.896728515625
2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.34333419799805,0.0,-1578.5978393554688
2020-04-27,68.62944793701172,0.0,0.0,0.0,0.0,166.2916717529297,0.0,0.0,106.5,0.0,-1601.359130859375
2020-04-28,135.03395080566406,0.0,61.33625411987305,52.07810592651367,0.0,162.24066162109375,0.0,0.0,153.8239974975586,0.0,-1859.6601867675781
2020-04-29,69.73458099365234,0.0,66.78968048095703,109.5634536743164,0.0,339.0419921875,0.0,0.0,160.10199737548828,0.0,-2180.964599609375
2020-04-30,0.0,0.0,67.01460266113281,53.16843032836914,0.0,513.6649932861328,0.0,7.280177116394043,104.25066375732422,0.0,-2160.657958984375
2020-05-01,0.0,0.0,0.0,50.94346618652344,0.0,500.36553955078125,0.0,0.0,46.75466537475586,0.0,-2103.45849609375
2020-05-04,0.0,0.0,0.0,0.0,0.0,341.736328125,0.0,0.0,0.0,0.0,-1845.6031494140625
2020-05-05,0.0,0.0,0.0,0.0,0.0,172.70257568359375,0.0,0.0,0.0,0.0,-2128.748291015625
2020-05-06,0.0,117.56300354003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2378.6076049804688
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2139.8310546875
2020-05-08,0.0,118.98049926757812,68.88765716552734,0.0,0.0,0.0,435.54998779296875,0.0,0.0,0.0,-2447.1416931152344
2020-05-11,76.5528793334961,0.0,69.84556579589844,0.0,0.0,178.41603088378906,0.0,0.0,0.0,0.0,-2719.6041870117188
2020-05-12,151.3560028076172,0.0,68.43182373046875,52.051361083984375,0.0,0.0,0.0,0.0,0.0,0.0,-2665.3982543945312
2020-05-13,224.29273223876953,0.0,67.09571838378906,0.0,0.0,171.73757934570312,0.0,0.0,0.0,0.0,-2880.0831909179688
2020-05-14,225.67069244384766,0.0,0.0,0.0,0.0,172.48280334472656,0.0,0.0,0.0,0.0,-3179.5103759765625
2020-05-15,149.55770874023438,0.0,0.0,0.0,0.0,349.9911804199219,0.0,0.0,0.0,0.0,-3460.3034057617188
2020-05-18,153.08145141601562,0.0,0.0,0.0,0.0,353.3351745605469,0.0,0.0,0.0,0.0,-3565.7030639648438
2020-05-19,152.1968994140625,0.0,0.0,0.0,0.0,175.4446258544922,0.0,0.0,53.867332458496094,0.0,-3257.6114501953125
2020-05-20,77.57841491699219,0.0,70.12274169921875,0.0,0.0,0.0,0.0,0.0,54.37066650390625,0.0,-3589.031494140625
